t,mag_x,mag_y,mag_z,yaw_mag_deg,yaw_filter_deg,accepted
711.4386,-21.0,-102.6,-312.7,96.25,92.99,1
711.5712,-16.8,-106.5,-312.7,93.90,93.00,1
711.7081,-15.8,-105.6,-311.8,93.22,93.01,1
711.8452,-15.8,-112.4,-309.8,92.94,93.01,1
711.9801,-16.8,-107.5,-313.7,93.51,93.02,1
712.1159,-15.8,-108.5,-316.6,92.72,93.02,1
712.2527,-12.6,-106.5,-314.7,91.11,93.08,1
712.3853,-13.7,-108.5,-312.7,91.97,93.06,1
712.5212,-14.7,-106.5,-313.7,92.55,93.06,1
712.6575,-15.8,-106.5,-312.7,92.69,93.05,1
712.7932,-16.8,-108.5,-311.8,93.15,93.05,1
712.9297,-14.7,-106.5,-309.8,92.16,93.04,1
713.0547,-16.8,-107.5,-307.9,93.11,93.05,1
713.1898,-17.9,-109.5,-313.7,93.46,92.95,1
713.3241,-14.7,-105.6,-315.7,91.88,93.02,1
713.4608,-17.9,-111.4,-317.6,93.16,93.02,1
713.5968,-14.7,-109.5,-313.7,91.76,93.02,1
713.7312,-16.8,-107.5,-314.7,92.91,93.02,1
713.8685,-16.8,-107.5,-315.7,92.95,93.10,1
714.0064,-14.7,-104.6,-314.7,91.98,93.09,1
714.1403,-14.7,-108.5,-315.7,91.79,93.07,1
714.2769,-13.7,-106.5,-309.8,91.36,93.05,1
714.4118,-14.7,-105.6,-311.8,91.91,93.02,1
714.5489,-16.8,-110.4,-318.6,92.77,93.02,1
714.6840,-15.8,-107.5,-315.7,92.53,93.03,1
714.8195,-16.8,-111.4,-313.7,92.96,93.04,1
714.9590,-12.6,-107.5,-308.8,91.08,93.02,1
715.0910,-17.9,-108.5,-313.7,93.38,93.03,1
715.2264,-15.8,-106.5,-313.7,92.31,93.02,1
715.3625,-13.7,-106.5,-313.7,90.95,93.00,1
715.4970,-15.8,-103.6,-309.8,91.83,92.98,1
715.6320,-21.0,-108.5,-313.7,94.35,93.00,1
715.7684,-14.7,-105.6,-312.7,91.49,92.98,1
715.9068,-14.7,-110.4,-317.6,91.32,92.94,1
716.0393,-13.7,-110.4,-312.7,90.86,92.93,1
716.1759,-12.6,-106.5,-311.8,90.23,92.88,1
716.3134,-14.7,-109.5,-312.7,91.13,92.86,1
716.4461,-13.7,-108.5,-311.8,90.62,92.83,1
716.5808,-15.8,-106.5,-310.8,91.78,92.81,1
716.7175,-13.7,-108.5,-315.7,90.71,92.79,1
716.8521,-16.8,-103.6,-314.7,92.58,92.77,1
716.9774,-17.9,-107.5,-317.6,92.81,92.77,1
717.1145,-17.9,-107.5,-314.7,92.93,92.79,1
717.2479,-15.8,-105.6,-319.6,91.88,92.78,1
717.3838,-17.9,-105.6,-314.7,93.06,92.79,1
717.5207,-14.7,-110.4,-310.8,91.40,92.74,1
717.6558,-12.6,-110.4,-311.8,90.38,92.71,1
717.7908,-15.8,-107.5,-312.7,91.96,92.69,1
717.9282,-15.8,-107.5,-310.8,92.01,92.66,1
718.0613,-15.8,-108.5,-315.7,91.77,92.68,1
718.1960,-20.0,-109.5,-314.7,94.01,92.71,1
718.3302,-16.8,-109.5,-309.8,92.51,92.70,1
718.4639,-15.8,-105.6,-313.7,91.92,92.69,1
718.5980,-17.9,-107.5,-313.7,93.09,92.70,1
718.7325,-17.9,-108.5,-311.8,93.25,92.73,1
718.8658,-21.0,-104.6,-313.7,94.92,92.76,1
719.0021,-14.7,-106.5,-313.7,91.68,92.74,1
719.1372,-15.8,-111.4,-310.8,92.18,92.73,1
719.2708,-15.8,-108.5,-315.7,92.17,92.72,1
719.4050,-13.7,-107.5,-314.7,91.11,92.70,1
719.5406,-12.6,-107.5,-310.8,90.65,92.66,1
719.6738,-20.0,-106.5,-315.7,94.22,92.68,1
719.8067,-18.9,-108.5,-313.7,93.60,92.68,1
719.9434,-16.8,-105.6,-313.7,92.31,92.68,1
720.0780,-15.8,-107.5,-315.7,91.66,92.67,1
720.2126,-15.8,-109.5,-313.7,91.67,92.66,1
720.3467,-16.8,-105.6,-313.7,92.15,92.65,1
720.4797,-15.8,-107.5,-310.8,91.69,92.55,1
720.6137,-13.7,-105.6,-311.8,90.58,92.53,1
720.7479,-16.8,-107.5,-312.7,92.21,92.52,1
720.8809,-21.0,-106.5,-310.8,94.14,92.54,1
721.0181,-12.6,-109.5,-314.7,89.75,92.50,1
721.1540,-13.7,-107.5,-311.8,90.28,92.49,1
721.2871,-12.6,-108.5,-312.7,89.69,92.46,1
721.4214,-17.9,-111.4,-310.8,92.48,92.45,1
721.5556,-13.7,-106.5,-312.7,90.36,92.42,1
721.6892,-14.7,-108.5,-310.8,90.92,92.40,1
721.8240,-15.8,-104.6,-315.7,91.40,92.38,1
721.9610,-15.8,-105.6,-312.7,91.35,92.37,1
722.0939,-15.8,-110.4,-309.8,91.33,92.36,1
722.2299,-11.6,-107.5,-308.8,89.26,92.32,1
722.3655,-16.8,-105.6,-315.7,91.83,92.32,1
722.4997,-13.7,-109.5,-314.7,90.01,92.30,1
722.6341,-15.8,-112.4,-315.7,91.02,92.29,1
722.7708,-14.7,-108.5,-312.7,90.58,92.27,1
722.9072,-15.8,-111.4,-314.7,91.33,92.25,1
723.0439,-14.7,-104.6,-316.6,90.81,92.23,1
723.1784,-15.8,-108.5,-316.6,91.38,92.24,1
723.3138,-16.8,-107.5,-312.7,92.25,92.25,1
723.4495,-15.8,-105.6,-313.7,91.65,92.25,1
723.5838,-20.0,-106.5,-313.7,93.69,92.26,1
723.7182,-17.9,-107.5,-312.7,92.56,92.26,1
723.8539,-15.8,-110.4,-312.7,91.45,92.25,1
723.9909,-16.8,-107.5,-313.7,91.92,92.14,1
724.1254,-16.8,-104.6,-314.7,91.92,92.13,1
724.2619,-13.7,-112.4,-310.8,90.31,92.11,1
724.3983,-14.7,-103.6,-314.7,90.80,92.09,1
724.5309,-15.8,-106.5,-315.7,91.24,92.10,1
724.6665,-15.8,-107.5,-313.7,91.26,92.09,1
724.8027,-16.8,-109.5,-310.8,91.80,92.06,1
724.9390,-16.8,-108.5,-314.7,91.63,92.06,1
725.0756,-12.6,-105.6,-312.7,89.57,91.98,1
725.2118,-16.8,-103.6,-311.8,91.84,92.00,1
725.3447,-14.7,-107.5,-315.7,90.63,91.95,1
725.4802,-15.8,-108.5,-312.7,91.18,91.94,1
725.6155,-14.7,-111.4,-316.6,90.56,91.93,1
725.7502,-13.7,-104.6,-314.7,90.11,91.91,1
725.8852,-14.7,-110.4,-310.8,90.70,91.89,1
726.0104,-13.7,-107.5,-315.7,90.06,91.87,1
