t,dt,ax,ay,az,gx,gy,gz
672.3253,0.01350,-0.33507,0.20956,-9.76838,-0.108583,0.000400,0.001332
672.3389,0.01360,-0.29709,0.12351,-9.72821,-0.102322,-0.000666,0.001199
672.3527,0.01381,-0.35406,0.12590,-9.74475,-0.106452,-0.000000,0.003730
672.4000,0.04730,-0.30421,0.16176,-9.72585,-0.107651,0.000799,0.003331
672.4183,0.01837,-0.37543,0.20717,-9.69985,-0.105786,-0.000000,0.004530
672.4351,0.01673,-0.28760,0.12351,-9.74475,-0.108983,0.002265,0.001199
672.4487,0.01359,-0.35644,0.32668,-9.71639,-0.135629,0.003997,0.002665
672.4622,0.01354,-0.35406,0.14980,-9.87235,-0.104720,0.002265,0.003864
672.4757,0.01346,-0.28997,0.35297,-9.86762,-0.110315,-0.001066,0.003864
672.4892,0.01356,-0.35644,0.20956,-9.84635,-0.103920,-0.033708,0.000933
672.5361,0.04684,-0.36593,0.14502,-9.80855,-0.104986,0.001599,0.005063
672.5537,0.01762,-0.29234,0.06615,-9.75184,-0.109116,0.005462,0.003730
672.5675,0.01386,-0.35169,0.13785,-9.73766,-0.105386,-0.003064,0.004263
672.5814,0.01381,-0.38255,0.14263,-9.78964,-0.106319,0.000133,0.004397
672.5951,0.01378,-0.32320,0.17132,-9.78256,-0.105253,-0.002265,0.007461
672.6114,0.01623,-0.33033,0.14502,-9.76838,-0.105119,0.001066,0.003864
672.6252,0.01382,-0.38730,0.14263,-9.80146,-0.102855,0.002265,0.003730
672.6724,0.04724,-0.32083,0.17132,-9.73057,-0.105919,-0.002132,0.005196
672.6895,0.01704,-0.35644,0.15697,-9.77310,-0.104187,-0.000266,0.001732
672.7030,0.01356,-0.35406,0.17610,-9.66914,-0.106851,0.002132,0.004130
672.7165,0.01346,-0.37068,0.13307,-9.78492,-0.106319,0.002265,0.003730
672.7300,0.01352,-0.26861,0.16415,-9.72112,-0.107118,-0.001199,0.004530
672.7435,0.01350,-0.34694,0.14024,-9.73766,-0.105919,0.000400,0.002531
672.7575,0.01393,-0.32795,0.17132,-9.77074,-0.106185,-0.000266,0.002931
672.8050,0.04758,-0.36356,0.16654,-9.74948,-0.107784,-0.001599,0.001199
672.8252,0.02014,-0.29234,0.16893,-9.75420,-0.109383,0.001066,0.005729
672.8392,0.01398,-0.32558,0.20956,-9.75893,-0.105119,-0.002398,0.004663
672.8530,0.01388,-0.27573,0.12590,-9.80855,-0.107651,-0.003997,0.001599
672.8669,0.01388,-0.39205,0.10200,-9.73530,-0.103254,0.001332,0.007061
672.8807,0.01383,-0.16890,0.15697,-9.83927,-0.109516,0.006795,0.001732
672.8946,0.01383,-0.27573,0.11156,-9.65260,-0.110049,-0.001732,0.003331
672.9440,0.04948,-0.38018,0.11634,-9.69513,-0.104853,0.003464,0.003331
672.9625,0.01850,-0.34457,0.07571,-9.84163,-0.106851,-0.004130,0.002398
672.9766,0.01410,-0.30421,0.17610,-9.70222,-0.135096,0.004397,0.003997
672.9906,0.01393,-0.34932,0.16415,-9.69749,-0.108450,0.000666,0.003464
673.0069,0.01635,-0.36831,0.17610,-9.76129,-0.106319,0.006795,0.001998
673.0208,0.01389,-0.25199,0.07332,-9.83454,-0.109649,0.000933,0.033708
673.0681,0.04732,-0.39442,0.17610,-9.82273,-0.106985,-0.000933,0.004796
673.0852,0.01710,-0.31846,0.13068,-9.85581,-0.105919,-0.033841,0.002132
673.0988,0.01358,-0.30659,0.16176,-9.84635,-0.105119,-0.003064,0.001599
673.1123,0.01352,-0.33982,0.12590,-9.78964,-0.106052,0.003730,0.004397
673.1259,0.01358,-0.29709,0.19761,-9.92669,-0.107917,-0.001466,0.003064
673.1394,0.01353,-0.33745,0.17371,-9.85581,-0.107118,0.001732,0.005862
673.1529,0.01350,-0.33270,0.14741,-9.80382,-0.100323,-0.001066,0.003464
673.2004,0.04743,-0.28760,0.16415,-9.70931,-0.105253,0.002665,0.003997
673.2203,0.01995,-0.34220,0.13307,-9.74711,-0.104054,0.001332,0.005196
673.2342,0.01389,-0.28285,0.17132,-9.78964,-0.107651,-0.000000,0.000133
673.2480,0.01381,-0.32795,0.18327,-9.75893,-0.109916,0.003730,0.003064
673.2618,0.01381,-0.28997,0.15937,-9.73530,-0.108051,0.001332,0.005729
673.2757,0.01384,-0.31846,0.12829,-9.80146,-0.103521,0.002132,0.003864
673.2895,0.01383,-0.31134,0.17849,-9.72112,-0.107384,-0.000266,0.003997
673.3368,0.04733,-0.27810,0.16415,-9.76129,-0.105519,0.002265,0.003997
673.3544,0.01761,-0.32558,0.12351,-9.70931,-0.106985,0.002798,0.007727
673.3683,0.01387,-0.26623,0.14502,-9.68095,-0.106052,0.003464,0.004397
673.3821,0.01382,-0.37068,0.16654,-9.79437,-0.068481,0.003198,0.003331
673.3984,0.01627,-0.32320,0.15458,-9.79201,-0.105253,0.001599,0.004663
673.4122,0.01380,-0.36593,0.15697,-9.94796,-0.107118,-0.001466,0.000400
673.4261,0.01387,-0.35644,0.32190,-9.80146,-0.104587,-0.001732,0.001732
673.4734,0.04737,-0.26148,0.12829,-9.84163,-0.108051,-0.001332,0.002531
673.4919,0.01841,-0.31371,0.14741,-9.80146,-0.106585,0.033574,0.002398
673.5061,0.01428,-0.31371,0.14741,-9.94087,-0.109516,-0.001066,0.005196
673.5200,0.01384,-0.31134,0.30995,-9.76365,-0.102988,0.004263,0.004130
673.5339,0.01397,-0.27335,0.20000,-9.78728,-0.103254,-0.000400,0.003331
673.5478,0.01387,-0.33270,0.19761,-9.75420,-0.106851,0.005063,0.001466
673.5616,0.01381,-0.32795,0.13307,-9.81091,-0.109250,0.000533,0.004530
673.6110,0.04937,-0.29472,0.12829,-9.76365,-0.104720,-0.002398,0.003331
673.6280,0.01697,-0.34694,0.05659,-9.78728,-0.136162,-0.032775,0.004397
673.6415,0.01355,-0.33982,0.11156,-9.78492,-0.102588,0.000133,0.003997
673.6550,0.01348,-0.32558,0.10917,-9.75656,-0.105786,0.000933,0.004130
673.6685,0.01351,-0.33507,0.18566,-9.92906,-0.107917,-0.000933,0.003064
673.6824,0.01384,-0.36119,0.15458,-9.80146,-0.107518,0.000666,0.006795
673.6961,0.01377,-0.32083,0.18566,-9.78492,-0.101389,-0.001332,0.007861
673.7437,0.04757,-0.34457,0.14741,-9.82981,-0.104320,0.032508,0.003997
673.7614,0.01766,-0.31134,0.14741,-9.69985,-0.106585,-0.033841,0.002665
673.7753,0.01393,-0.34220,0.35058,-9.72821,-0.105919,0.002665,0.001865
673.7918,0.01655,-0.31371,0.13546,-9.80382,-0.106851,-0.000533,0.004530
673.8058,0.01399,-0.35644,0.15937,-9.81800,-0.107384,0.033841,0.002132
673.8197,0.01389,-0.36593,0.23107,-9.78256,-0.106851,0.000533,0.003464
673.8336,0.01387,-0.36831,0.18327,-9.74239,-0.107118,-0.001732,0.003198
673.8810,0.04742,-0.26861,0.15937,-9.81327,-0.103654,0.002132,0.006928
673.8988,0.01776,-0.34932,0.19283,-9.81327,-0.106718,0.034107,0.003464
673.9148,0.01602,-0.32320,0.15697,-9.78019,-0.102855,0.001998,0.003730
673.9288,0.01396,-0.29947,0.19761,-9.77783,-0.104320,0.006129,0.000266
673.9426,0.01389,-0.32795,0.16654,-9.74711,-0.103387,-0.001466,0.002931
673.9565,0.01384,-0.28760,0.14741,-9.78256,-0.106851,-0.001066,0.004663
673.9728,0.01627,-0.29947,0.17849,-9.75893,-0.106985,0.033708,0.004663
674.0197,0.04699,-0.37780,0.18327,-9.71639,-0.103254,-0.001332,0.002398
674.0375,0.01778,-0.31608,0.13546,-9.66677,-0.106452,0.003597,0.003864
674.0513,0.01377,-0.38255,0.18805,-9.78964,-0.106052,0.000133,0.000266
674.0648,0.01353,-0.36593,0.12829,-9.72112,-0.108583,-0.000933,0.003997
674.0784,0.01359,-0.31846,0.15697,-9.75656,-0.109783,0.003064,0.002265
674.0923,0.01387,-0.35169,0.13785,-9.78019,-0.109916,0.003997,0.005462
674.1061,0.01385,-0.19976,0.18088,-9.83927,-0.068348,-0.001066,0.004530
674.1535,0.04741,-0.33982,0.21673,-9.84635,-0.104320,0.003064,0.005462
674.1713,0.01773,-0.33745,0.14502,-9.78256,-0.101655,0.002265,0.002931
674.1877,0.01644,-0.26148,0.15219,-9.92669,-0.107118,0.000799,0.004796
674.2016,0.01392,-0.35881,0.12112,-9.70222,-0.106052,0.003198,0.005196
674.2154,0.01381,-0.31134,0.16176,-9.78019,-0.104320,-0.003464,0.003730
674.2293,0.01381,-0.36831,0.18566,-9.79910,-0.103920,0.002132,0.003198
674.2430,0.01379,-0.25199,0.13546,-9.76838,-0.107118,-0.001865,0.001599
674.2904,0.04732,-0.34457,0.15219,-9.77547,-0.103920,0.002931,0.002798
674.3079,0.01750,-0.32558,0.15697,-9.74948,-0.107384,-0.033974,0.001466
674.3218,0.01389,-0.31371,0.07810,-9.85581,-0.104054,0.002531,0.001599
674.3356,0.01380,-0.35881,0.12829,-9.77547,-0.105253,0.002398,0.003597
674.3493,0.01379,-0.29947,0.18088,-9.72821,-0.106052,0.003730,0.004530
674.3656,0.01624,-0.34220,0.13546,-9.76129,-0.103254,-0.000133,0.005862
674.3794,0.01383,-0.32320,0.15219,-9.77783,-0.106452,-0.003597,0.001599
674.4264,0.04700,-0.31608,0.12112,-9.82273,-0.102855,0.003730,0.005462
674.4434,0.01698,-0.37543,0.17132,-9.73293,-0.103787,0.001865,0.004530
674.4569,0.01354,-0.34220,0.14741,-9.83218,-0.106718,0.031975,0.004130
674.4704,0.01352,-0.35169,0.17132,-9.73293,-0.106718,0.004130,0.001466
674.4839,0.01346,-0.28048,0.17371,-9.82509,-0.105652,-0.001066,0.002798
674.4978,0.01384,-0.32083,0.18088,-9.94796,-0.106052,0.002531,0.003997
674.5115,0.01379,-0.31846,0.19761,-9.74239,-0.105786,-0.033708,0.005063
674.5589,0.04731,-0.38730,0.16415,-9.71403,-0.106585,0.001599,0.004130
674.5798,0.02095,-0.31608,0.14024,-9.80382,-0.106319,0.003597,0.002931
674.5938,0.01397,-0.26623,0.17610,-9.72585,-0.103387,-0.002132,0.002398
674.6073,0.01354,-0.31134,0.11156,-9.73057,-0.102721,0.000666,0.003464
674.6208,0.01349,-0.27810,0.16176,-9.68331,-0.108184,-0.001199,0.001998
674.6343,0.01350,-0.30896,0.13068,-9.69040,-0.104320,0.000933,0.005995
674.6477,0.01343,-0.28997,0.16654,-9.78019,-0.106185,0.000933,0.002931
674.6947,0.04699,-0.14279,0.15697,-9.74711,-0.107251,-0.001599,0.004130
674.7123,0.01761,-0.37068,0.11634,-9.79201,-0.110049,0.001466,0.004397
674.7263,0.01396,-0.32320,0.19522,-9.79910,-0.104054,-0.001865,0.005462
674.7403,0.01396,-0.43478,0.12112,-9.76365,-0.107518,0.003464,0.001599
674.7566,0.01633,-0.29709,0.17132,-9.77074,-0.106319,-0.002665,0.002132
674.7705,0.01392,-0.26386,0.32429,-9.75420,-0.108450,0.000400,0.002665
674.7845,0.01401,-0.28997,0.17849,-9.76365,-0.106319,0.034107,0.005462
674.8317,0.04715,-0.32558,0.15937,-9.75184,-0.105253,-0.000533,0.002531
674.8487,0.01706,-0.34694,0.15458,-9.67386,-0.108583,0.000799,0.003464
674.8623,0.01357,-0.29947,0.23824,-9.76365,-0.107384,0.033974,0.004796
674.8758,0.01355,-0.34457,0.14741,-9.93378,-0.106185,0.001199,0.003064
674.8894,0.01355,-0.38018,0.14263,-9.78964,-0.104187,0.033175,0.003597
674.9055,0.01607,-0.33033,0.16415,-9.77310,-0.104986,0.001865,0.005596
674.9194,0.01398,-0.37780,0.18327,-9.77310,-0.105652,-0.001332,0.003464
674.9694,0.04992,-0.28760,0.15937,-9.76365,-0.107917,0.002132,0.007461
674.9871,0.01769,-0.31371,0.15937,-9.94560,-0.102455,0.003730,0.007328
675.0007,0.01364,-0.38255,0.15937,-9.74002,-0.105253,0.001199,0.002265
675.0143,0.01357,-0.36119,0.11395,-9.77547,-0.106851,0.002665,0.005196
675.0277,0.01348,-0.36119,0.14263,-9.79910,-0.106452,0.001998,0.004130
675.0415,0.01379,-0.35406,0.14502,-9.77310,-0.136296,0.001466,0.001732
675.0552,0.01371,-0.31846,0.15458,-9.75893,-0.103787,0.002265,0.002531
675.1024,0.04721,-0.30421,0.16415,-9.74239,-0.104587,-0.000133,0.004130
675.1212,0.01875,-0.31846,0.16654,-9.71639,-0.105119,0.003064,0.006395
675.1354,0.01422,-0.29472,0.16415,-9.75420,-0.103787,-0.001332,0.004263
675.1519,0.01645,-0.34694,0.17132,-9.80146,-0.103254,0.003464,0.002398
675.1658,0.01393,-0.31134,0.14502,-9.79437,-0.108317,-0.001466,0.002798
675.1797,0.01391,-0.26861,0.19522,-9.80146,-0.106718,-0.033175,0.005862
675.1936,0.01389,-0.37780,0.13068,-9.78019,-0.106319,-0.032242,0.003597
675.2410,0.04737,-0.35881,0.16176,-9.96214,-0.104720,-0.000133,0.005196
675.2586,0.01762,-0.36831,0.11634,-9.77074,-0.107784,-0.000133,0.003997
675.2724,0.01386,-0.32320,0.17610,-9.73057,-0.106319,-0.003464,-0.003464
675.2863,0.01381,-0.38492,0.22868,-9.95505,-0.107384,0.033708,0.003597
675.3000,0.01379,-0.36831,0.13785,-9.77310,-0.102855,0.002798,0.000799
675.3138,0.01380,-0.31846,0.15219,-9.72112,-0.108450,0.002398,0.004530
